Section,Gap,Primary Diligence Action,Done?,Finding,Date
1,Entity and license,Sunbiz search ShoreHome LLC; DBPR verify CBC1267990; confirm principal address and DBA,Yes,CBC1267990 verified 02/19/2026. Primary: John Dale Ross. DBA: SHOREHOME LLC. Current Active to 08/31/2026. Address 320 29th St NW Bradenton matches.,
2,Owner and key person,Owner interview; 2+ professional references; court and licensing search on owner name(s),No,,,
4,Financials,3 years P&L and tax returns; Florida UCC search; discussion of debt and working capital,Partial,UCC 202503811777: Kubota Credit. Collateral: Kubota SVL75-3 skid steer; Land Pride AP-HD74; Land Pride AP-PFL56 48" 5500lb pallet fork. Get payoff; P&L; confirm no other liens.,
5,Lease and premises,Obtain lease; confirm term options rent NNN vs gross; site visit,No,,,
6,Concentration and channels,Revenue by customer and by channel; top 10 customer list,No,,,
7,Operations,Site visit; call as prospect; list systems and key suppliers,No,,,
8,Reputation,Pull Google Yelp BBB Houzz for ShoreHome; 3-5 customer interviews; 2+ local references,No,,,
9,Litigation and insurance,Court search business + owner; confirm insurance types and limits,No,,,
10,Digital,Domain age; core keyword rankings; GBP and ad spend check,No,,,
11,Seasonality,Monthly/quarterly revenue; reserves and credit line discussion,No,,,
14,Valuation,Apply SDE and revenue multiples after financials; obtain comps for region/segment,No,,,
